unitType,customerType,status
Credit,Other,Accepted
Credit,Government,Rejected
Cheque,Business,Accepted
Cheque,Business,Accepted
Cheque,Business,Accepted
Inventory Item,Government,Accepted
Credit,Government,Rejected
Cheque,Personal,Rejected
Inventory Item,Other,Rejected
Credit,Business,Accepted
Inventory Item,Personal,Rejected
Credit,Government,Rejected
Cheque,Other,Accepted
Cheque,Personal,Rejected
Inventory Item,Business,Accepted
Inventory Item,Other,Rejected
Credit,Government,Rejected
Cheque,Business,Accepted
Credit,Personal,Accepted
Inventory Item,Other,Accepted
Inventory Item,Personal,Accepted
Credit,Government,Accepted
Inventory Item,Personal,Rejected
Cheque,Other,Accepted
Inventory Item,Business,Rejected
Cheque,Personal,Rejected
Cheque,Business,Rejected
Inventory Item,Government,Rejected
Credit,Business,Accepted
Credit,Personal,Rejected
Cheque,Other,Rejected
Credit,Other,Accepted
Inventory Item,Personal,Rejected
Inventory Item,Personal,Rejected
Credit,Other,Accepted
Cheque,Business,Accepted
Inventory Item,Personal,Accepted
Inventory Item,Government,Accepted
Credit,Government,Rejected
Cheque,Personal,Accepted
Credit,Personal,Accepted
Credit,Government,Accepted
Credit,Other,Rejected
Cheque,Other,Rejected
Inventory Item,Personal,Rejected
Inventory Item,Business,Rejected
Inventory Item,Government,Accepted
Credit,Other,Accepted
Cheque,Other,Accepted
Cheque,Business,Rejected
Inventory Item,Government,Rejected
Credit,Personal,Accepted
Cheque,Government,Accepted
Cheque,Government,Accepted
Credit,Other,Rejected
Cheque,Other,Rejected
Inventory Item,Other,Accepted
Cheque,Business,Accepted
Inventory Item,Personal,Rejected
Inventory Item,Personal,Rejected
Credit,Other,Rejected
Credit,Business,Accepted
Cheque,Business,Rejected
Inventory Item,Business,Rejected
Inventory Item,Government,Rejected
Inventory Item,Personal,Accepted
Cheque,Government,Accepted
Cheque,Personal,Rejected
Inventory Item,Government,Rejected
Credit,Other,Rejected
Credit,Other,Accepted
Credit,Other,Accepted
Credit,Personal,Accepted
Cheque,Business,Rejected
Credit,Government,Accepted
Cheque,Business,Accepted
Cheque,Government,Rejected
Cheque,Business,Rejected
Inventory Item,Personal,Rejected
Cheque,Other,Accepted
Credit,Business,Rejected
Inventory Item,Other,Rejected
Inventory Item,Government,Accepted
Credit,Personal,Accepted
Credit,Government,Rejected
Cheque,Other,Accepted
Cheque,Business,Accepted
Inventory Item,Government,Rejected
Cheque,Government,Accepted
Credit,Business,Rejected
Cheque,Government,Rejected
Credit,Other,Accepted
